name,minLon,minLat,maxLon,maxLat
10SW13C(e818n814:e818n815).tif,113.9996212,22.26954779,114.0069055,22.27376204
10SW13D(e818n814:e819n815).tif,114.0069022,22.26834582,114.0141837,22.27377384
10SW14A(e819n815:e820n815).tif,114.0141715,22.27376827,114.0214544,22.27919739
10SW14B(e820n815:e821n815).tif,114.0214469,22.27377551,114.0240761,22.27919819
10SW14C(e819n814:e820n815).tif,114.0141778,22.26834988,114.0214606,22.27377888
10SW14D(e820n814:e821n815).tif,114.0214532,22.26835725,114.0244397,22.27378063
10SW16A(e815n813:e815n814).tif,113.9705227,22.26288194,113.9778074,22.26831233
10SW16B(e815n813:e816n814).tif,113.9777998,22.26289114,113.985084,22.26832116
10SW16C(e815n813:e815n813).tif,113.9705306,22.25746368,113.9778149,22.26289382
10SW16D(e815n813:e816n813).tif,113.9778072,22.25747296,113.9850913,22.26290292
10SW17A(e816n813:e817n814).tif,113.9850767,22.26289993,113.9923605,22.26832971
10SW17B(e817n813:e818n814).tif,113.9923537,22.26290822,113.9996367,22.26833741
10SW17C(e816n813:e817n813).tif,113.985084,22.25748141,113.9923676,22.26291101
10SW17D(e817n813:e818n813).tif,113.9923604,22.25748982,113.9996439,22.2629193
10SW18A(e818n813:e818n814).tif,113.9996407,22.26291653,114.0024239,22.26657168
10SW18B(e818n813:e819n814).tif,114.010193,22.26529583,114.0141873,22.26834366
10SW18C(e818n813:e818n813).tif,113.9996392,22.257498,114.0069201,22.2629256
10SW18D(e818n813:e819n813).tif,114.006919,22.25750574,114.0079631,22.2598688
10SW19A(e819n813:e820n814).tif,114.0141841,22.26514757,114.0214632,22.26835501
10SW19B(e820n813:e821n814).tif,114.0214663,22.26574306,114.0236591,22.26836328
10SW19D(e820n813:e821n813).tif,114.027919,22.25752651,114.0287487,22.25878023
10SW1A(e815n817:e815n818).tif,113.9704775,22.29539236,113.9777613,22.30082214
10SW1B(e815n817:e816n818).tif,113.977758,22.29540121,113.9850396,22.30082935
